model,experiment,run_id,accuracy,f1_weighted,precision_weighted,recall_weighted,auc_roc
Random Forest Classifier,Kisi4_Random_Forest_Classifier,3d6664908f2444528eb6da41f37d2eb1,0.559869227625664,0.546890992514049,0.5645369293449188,0.559869227625664,0.9442269500399094
Gradient Boosted Trees (GBT) Classifier,Kisi4_GBT_Classifier,bdba765671eb48eb905df8981916c819,0.5059256232120964,0.5026277507321396,0.5129756284058019,0.5059256232120964,0.928315814003047
Decision Tree Classifier,Kisi4_Decision_Tree_Classifier,0e331095d61d4970a5ca0738b516676b,0.48058847568451163,0.4804889994740275,0.5181545761857814,0.48058847568451163,0.899491498250968
Logistic Regression,Kisi4_Logistic_Regression,0e0b046798774260a018c23786f200e3,0.4662852472415202,0.44901066942328527,0.4668383341681998,0.4662852472415202,0.91973894265465
Naive Bayes,Kisi4_Naive_Bayes,3fbcda85d2b24d119e7cd388ea9c8fc9,0.2991418062934205,0.255802676174865,0.30908389824731497,0.2991418062934205,0.8552442158298987
